title,skillset,category
"Facilitator - AI, Data, Cybersecurity, UX","AIM has developed over 100 short courses and Vocational Qualifications to help our students advance their skills and career, regardless of industry and experience.
About the Role The Facilitator – Digital Programs role at AIM offers a dynamic opportunity to lead engaging learning experiences across key digital subjects such as AI, Data, Cybersecurity, or UX .
Whether working with small teams or large cohorts, your role will focus on creating a collaborative and results-driven learning environment that meets the needs of today’s workforce.
If you enjoy bringing complex digital concepts to life and empowering learners with real-world skills, this contract opportunity is a great fit.
Key Responsibilities Deliver engaging and effective training sessions (face-to-face, virtual, and blended) across one or more digital subjects: AI, Data, Cybersecurity, or UX.
Apply adult learning principles to design and facilitate impactful learning experiences tailored to professional audiences.
About you Proven experience facilitating digital subject matter (AI, Data, Cybersecurity, or UX) in professional learning environments.
Tech-savvy with experience using virtual learning platforms (e.g., Zoom, Teams, LMS).",1
Presales Engineer,"In this role, you will work closely with the sales team to identify client requirements, design tailored solutions and ensure successful engagement with our technology offerings.
Key Responsibilities: Collaborate with sales teams to understand customer requirements and propose effective technical solutions Deliver compelling product demonstrations and technical presentations Design, scope, and document solutions aligned to client needs Assist in RFP/RFI responses, proposals, and technical documentation Build strong relationships with internal stakeholders and external clients Stay updated on industry trends and product developments What We’re Looking For: Proven experience in a presale, solution engineering, or technical consultancy role Strong understanding of [cloud infrastructure / networking / cybersecurity / SaaS- customise depending on your tech stack] Excellent communication and presentation skills Ability to translate complex technical information for non-technical audiences Experience working with enterprise clients is a plus Relevant certifications (e.g., AWS, Azure, Cisco, etc.) desirable but not essential Why Join?",3
Lead Analyst - Knowledge Services (Program Lead),"Role: - Lead Analyst - Knowledge Services (Program Lead) Location: - Sydney Status – 6 Months fixed term, extendable based on project requirement NOTE - Only applicants with Australia full work right, i.e., holding a valid visa will be considered for the role.
This role requires a strategic thinker with strong leadership, analytical, and stakeholder management capabilities.
You will guide cross-functional teams, ensure alignment with enterprise and government frameworks (including SOCI), and drive successful outcomes across multiple workstreams.
Key Responsibilities Program Oversight: Lead end-to-end delivery of cybersecurity initiatives, ensuring alignment with business objectives and compliance requirements.
Requirements Gathering: Facilitate workshops and interviews to define and document cybersecurity solution requirements.
Qualifications & Experience Bachelor’s degree in Business, Data Analytics, Computer Science, Cybersecurity, or a related field 3–5 years’ experience as a project manager Minimum 1 year of experience in a cybersecurity environment Strong data literacy and experience with Power BI Infosys BPM is committed to creating a diverse and inclusive working environment.
We actively support and encourage people of all backgrounds; gender, age, ethnicity, race, cultural background, disability, religion and sexual orientation to submit an application and aim to ensure that the recruitment and employee experience is as accessible and inclusive as possible.
If you require an adjustment to be made during the recruitment process (including alternate formats) or have an enquiry about the support provided, please contact HR Team on 02 8913 5900 or email to bpm.anz.careers@infosys.com Please click on the Apply link below to upload your resume before the closing date.",1
Cybersecurity architect,"Knowledge of the outsourced IT services market and infrastructure project requirements.
Understand and experience with: ISO27001/2 Federal Government's ISM NIST ATT&CK and Cyber Kill Chain Framework PCI-DSS Sound financial management practices with a clear understanding of the relationship between costs, utilisation and project revenue.
5 years' experience in a Cybersecurity, Risk Management, Audit or equivalent discipline.
Experience in a Managed Security Service Provider (MSSP) environment.
Ability to work on assignments of moderate scope where analysis of situations or data requires a review of a variety of factors.
Assures adherence to budgets, schedules, work plans, and performance requirements.",2
Security Operations Lead,"Responsibilities and Accountabilities: Security Governance and Compliance: Ensure adherence to PSPF, DSPF and ISM.
Experience: Gateway and Cross Domain Solution experience.
Skilled ability to interpret, and tune logging and monitoring tools (syslog, windows events and Splunk) Experience with system level hardening of Citrix, Horizon, OpenShift and/or Red Hat Enterprise.
Proven experience with Security assessments and testing methodologies.
Strong problem-solving skills, and methodical approach to documentation.
Candidates with significant Defence experience and/or Security Operations experience will be held in high regard.
10 to 15 years minimum security experience in industry and Defence.
Research suggests that underrepresented groups tend to only apply if they meet every requirement.
For Security Cleared Roles – PLEASE NOTE: Due to the inherent requirements of the role, candidates must be Australian Citizens and hold an Australian Federal Government Security Clearance.
The role will or will likely involve access to controlled technology and must satisfy additional restrictions and requirements as a consequence of the International Traffic in Arms Regulations and the Export Administration Regulations.
As a consequence of these restrictions and requirements, applicants may be adversely impacted if they are not Australian citizens, are dual nationals, hold citizenship from proscribed countries, or are not of Australian national origin.",3
Security Analyst,"You will work closely with our Customer Success Managers, Solutions Engineers, Threat Researchers, etc.
to provide an amazing customer experience, as well as prevent different fraud attacks across many industries.
You will get to work with industry leaders and some of the smartest minds in fraud and abuse prevention.
In addition, you will be central to driving success for our customer’s security initiatives across the Arkose Labs organization through close alignment with Engineering, Threat Research, and Product.
As a member of Arkose Labs, you will be an integral part of the team that delivers our patent-pending security service to our customers around the globe.
Primary Responsibilities Provide leadership in an innovative and dynamic team that can inform, influence, and support improved use of data for decision making in customer security through direct support and capacity building Increase the capacity of teams to utilize multi-sectoral data to improve situational awareness, attack preparedness and response Help drive customer adoption and deliver on Arkose Labs value proposition Collaborate with CSOps team to develop technical approaches and new or enhanced technical tools to improve the analysis and utilization of data Work collaboratively across teams providing technical expertise in the use of data for improved customer security performance Serve as escalation point-of-contact for customers on data analytics and security settings Provide technical support and guidance to customers Manage customer communications for analytic and security settings Collaborate with internal organizations on projects and initiatives Identify and document process improvements Identify expansion opportunities, future use cases and implementation rollouts with customers Must Have 4+ years of Data or Support Analyst experience in a fast-paced environment, preferably in a SaaS company Customer support and escalation experience Strong understand of information security Working knowledge of HTML, JavaScript, and APIs Ability to quickly learn and support new technologies Self-motivated with demonstrated problem-solving skills Python scripting experience Strong attention to detail Team player, willing to learn, research and teach others Excellent written and verbal communication skills Strong work ethic, customer focus and winning attitude!
We’re not just a company; we’re a collaborative ecosystem where you will actively partner with these influential brands, tackling the most demanding technical challenges to safeguard hundreds of millions of users across the globe.
Experienced Leadership: Guided by seasoned executives with deep tech expertise and a history of successful growth and equity events.
We value your unique contributions, perspectives, and experiences.",1
Security Operations Center Analyst L2,"Talent Acquisition - India | APAC | EMEA Hiring @ Black Box | MBA in HR
25k+ connections ***** Looking for Australia Citizen or individuals holding PR ***** Exp: 5 to 7 yrs Work Location: Sydney Job Description: 5-7 years of experience in a SOC or security analyst role.
Experience working on any of the scripting languages such as Python etc.",1
Associate - Operations,"Job Description Adherence to all the regulatory bodies in AustraliaAchievement of agreed performance targets set by the businessMaintains and improves quality results by adhering to standards and guidelines; recommending improved procedures.Delivery of agreed service agreements with internal customers and where applicable external customersDetermining priorities of workEnsure compliance with internal policies and procedures, external regulations and information security standardsAccountability for own performance Qualifications Adherence to all the regulatory bodies in AustraliaAchievement of agreed performance targets set by the businessMaintains and improves quality results by adhering to standards and guidelines; recommending improved procedures.Delivery of agreed service agreements with internal customers and where applicable external customersDetermining priorities of workEnsure compliance with internal policies and procedures, external regulations and information security standardsAccountability for own performance Show more Show less Seniority level Entry level Employment type Full-time Job function Customer Service Industries Insurance",3
National Security Operations Manager,"Shape the future of security as our National Security Operations Manager DHL Supply Chain Australia is seeking a dedicated and experienced National Security Operations Manager to provide functional expertise in security management.
Your key responsibilities will include: Maintain and implement regional security standards and policies in alignment with DHL and the Global Security framework.
Aim to reduce losses, security incidents, and related claims within your level of responsibility.
Beyond our supportive culture, we also offer our employees: A world class training program to expand your skillset and propel your career to new heights Annual bonuses and merit reviews to ensure you are rewarded for your contribution to our success Staff engagement opportunities including volunteering opportunities, site events, competitions and our Go Teach, Go Help and Go Green programs Employee of the month and employee of the year recognition Access to Perk-Box, our employee reward program, along with impressive staff discounts at many of our household-name customers DHL Supply Chain is committed to fostering an environment where employees feel comfortable to balance their priorities, work commitments, team engagement and work/life balance in collaboration with their manager, ensuring good and productive outcomes for all.
We will support flexible working arrangements that are tailored to the individual role requirements.
To be successful in this role, you will have: Previous experience in security/loss prevention management.
Experience within the supply chain, logistics, or transportation industry (desirable).
Investigative experience, ideally within a police environment A qualification in the field of security management or certification from professional security bodies will be highly regarded.",3
Security Consultant,"About The Role Assesses risk at the technical or system process level, delivered through the assessment of systems for compliance against defined security control frameworks Drafts high-quality risk assessments and reports detailing security issues, technical and governance control improvements, and recommendations to address identified security risks Provides an accurate categorisation of threats, threat actors and vulnerabilities, delivered through the completion of security threat and risk assessments of ICT and / or OT systems Develops security policies, procedures and plans, to ensure effective governance Collaborates with peers across the Digital Intelligence business, both in Australia and overseas, to look for ways to continuously add value to the business, build your professional network, and share experiences Understands business and information risk context (typical business drivers, cyber security threats and implementation challenges) of our customers Judges risk at a technical and business process level and clearly articulate both verbally and in writing to key stakeholders.
Functional Requirements Measures effectiveness of controls in place Measures business impact associated with systems or processes, via document review or structured questionnaires Supports interviews or investigations, including on-site visits and stakeholder workshops Communicates and works with our customers to assist them in effectively managing cyber security risk Familiar with information security standards, such as the Australian Government Information Security Manual (ISM) and 27001 Familiar with information security frameworks, such as NIST Cybersecurity Framework Ideally hold at least one relevant industry certification, such as SANS ICS515, SANS ICS410, CISA, CRISC, GICSP, or CompTIA Security + (or demonstrate on track to achieving) Hold a national security clearance, or be willing to obtain.
Skills Business expertise and interpersonal skills Possess strong written and verbal communication skills Have demonstrated stakeholder management experience Demonstrate attention to detail, be proactive and organised Be able to respond to setbacks in an agile and resilient manner Learn more about us & our benefits: Rewards and benefits in Australia Why BAE Systems?",0
Technology Risk & Compliance Manager,"Direct message the job poster from Talenza Peter Rodriguez Peter Rodriguez State Director - Victoria Position: Technology Risk and Compliance Manager Location: Adelaide, Australia Contract Type: Full-time, Permanent About the Role: Talenza is partnering with a leading organisation seeking an experienced Technology Risk and Compliance Manager to join their team.
You will collaborate with the technology team, work closely with senior leadership, and ensure the business remains compliant with key standards such as ISO9001, ISO27001, and SOX.
As the Technology Risk and Compliance Manager, you will be tasked with developing and maintaining risk mitigation strategies, managing audit requirements, and preparing detailed reports on compliance activities.
Your role will also involve working across departments to ensure the effective delivery of risk and compliance initiatives and the maintenance of technology policies and procedures.
Key Responsibilities: Risk Management: Implement the organisation's technology risk management policies and procedures to ensure compliance and mitigate potential risks.
ISO, SOX Compliance: Manage and respond to audit requirements arising from standards such as ISO9001, ISO27001, and SOX.
Internal Audit Compliance: Respond to internal audit requirements arising from the parent company.
You should have experience in policy writing, managing risk registers, and collaborating with senior leaders.
Key Selection Criteria: Proven experience in managing and owning a technology risk register.
Experience working with senior leaders on project plans or steering committees.
Knowledge of Information Security Management Systems (not necessarily implementation experience).
Strong project management skills and the ability to work across cross-functional teams to drive compliance and risk mitigation.
If you are an experienced Technology Risk and Compliance Manager with a passion for ensuring technology compliance and mitigating risks, we would love to hear from you!",4
Infrastructure Operations Lead,"In this role, you will work with and guide a team of skilled professionals in designing, implementing, and managing our on-prem infrastructure and cloud environments.
The ideal candidate will possess experience with cloud platforms such as Azure and demonstrate a thorough understanding of cloud architecture, DevOps practices, and infrastructure automation.
Your responsibilities will include furthering cloud adoption while collaborating with cross-functional teams to deliver cutting-edge solutions that align with our strategic goals.
The skills and experience you’ll bring to the role: Experience working at the Senior level in Enterprise Infrastructure required Strong Stakeholder Management: Proven ability to effectively engage and manage relationships with key stakeholders.
Team Management: Essential skills in leading and managing teams to achieve organizational goals.
Experience working with an automated service desk system and adhering to Service Level Agreements (SLAs)/key performance indicators required Expert knowledge of classic networking design, including TCP/IP, DNS, DHCP, VPN, and firewalls.
Experience with virtualization technologies such as VMware or Hyper-V.
Experience of Microsoft Azure Cloud operating environments and hybrid cloud architectures..
Industry certifications in Microsoft and Cloud technologies Certification in ITIL4, Microsoft Certified Azure Solutions Architect Expert – Microsoft Certified: Azure Security Engineer Associate or Microsoft Cyber Security Architect Experience in a leading applications or product manager or similar role, preferably within government or enterprise environments.
Exceptional communication and interpersonal skills with the ability to collaborate effectively with cross-functional teams and stakeholders.
All candidates will be required to undertake background and probity checks including Reference Checks, Working with Children Check, and a Criminal Record Check.",3
Cloud Network Engineer,"Direct message the job poster from Ampstek David Wilfred David Wilfred Global Talent Partner Job Role: - Cloud Network Engineer Contract: 6 Months Experience and Skills:  To provide level 3 support and to ensure a professional and consistent delivery of quality service to Infosys customers and achievement of operational targets  6-10 years of Network experience, 3-4 year of cloud exposure is must.
 Good network support knowledge and experience  Service oriented, customer focused with good customer service skills.
 Mandatory  Experience in Core Cloud Networking infrastructure, hybrid networking connections, load balance traffic, network routing, private access to services, network security and monitoring.
 Understanding of Application Gateways, Firewalls, Express Routes, Peering connections, cloud design, architecture, and services  Extensive Network experience in LANs, WANs, Firewalls, Routers, Switches and networking concepts, including IPSec VPNs, DNS, BGP.
 Ability to carefully plan and co-ordinate work according to a demanding time schedule  Good time management, organizational and communication skills .",3
Senior Network Engineer - DDoS / Automation,"Direct message the job poster from Talent Elliott Howard Elliott Howard Account Director - Cyber Security, Architecture and Cloud / Infrastructure A leading Financial Services provider is seeking a Senior Network Engineer with strong experience supporting and managing DDoS platforms (i.e.
With a solid network engineering background with proven experience in core networking and network security infrastructure, you will be responsible for the support, configuration, maintenance and deployment of their DDoS platforms.
To be successful in this role you will need: Tertiary qualifications and/or relevant industry certifications Proven network engineering experience gained within large, enterprise environments Advanced knowledge and skills in the support, configuration and design of DDoS platforms (Akamai, CloudFlare, Arbor etc) Solid network automation experience using tools such as Ansible, Terraform and scripting in Python Strong knowledge of core networking (BGP, OSPF etc) and network security infrastructure such as firewalls (Juniper SRX, Fortinet, Checkpoint or Palo Alto) and load balancers (F5) Superior troubleshooting and problem-solving skills Excellent verbal and written communication skills Strong teamwork and stakeholder engagement skills with the ability to work independently as required This is a Sydney-based role where you will be required to be in the office at least two - three days per week.",3
Senior Consultant,"Responsibilities Aligning your technical delivery knowledge and expertise with our customers and colleagues.
Knowledge and skills: A strong track record of success building long term meaningful relationships with consultants and customers.
Comprehensive knowledge of technology trends and tools, with particular emphasis on cybersecurity A passion for Automation of tasks and strong systems experience and analytical skills.
A rare ability to analyse and critique a consultants technical skills and personal attributes.
Experience: Degree Qualified 5 + years’ experience working in IT/Cyber security services essential.",0
Incident Analyst,"Job Description Your Responsibilities as a Incident Analyst Complete analysis of incidents to determine impact and support developing resolution plans, work with P&T to provision data and other information required to support analysis.
Provide SME input into solutions and rectification plans both tactical and strategic required to support immediate and longer term solutions Complete and/or contribute to rectification of incidents per agreed rectification plans.
Identify uplifts to current solutions and procedures to support reduction in incidents and improved quality Provide SME input to Squads to support business requirements where technology uplifts are required to rectify incidents and reduce recurrence.
Work with Risk team to ensure tactical solutions meet Risk appetite and support status and reporting of incidents provided by the Risk team Manage assigned incidents and liaise with required stakeholders to ensure SLA’s are met and all incident documentation is completed.
Even if you don’t meet every single requirement, but you feel inspired to join our mission, we encourage you to send in your application.",1
Systems Engineer,"Skills And Experience Due to the Security Clearance required for this position, applicants must be an Australian Citizen and eligible to obtain and uphold a Baseline Security Clearance through the Australian Department of Defence.
Tertiary qualifications in Systems Engineering or related discipline.
3+ years’ experience in Systems Engineering or related discipline.
Demonstrated maturity and depth of experience in use of a PLM / CM tool.
Understanding & practical experience working within a complex project, quality assurance & business improvement process and targeted & effective business solutions and outcomes.
Demonstrated experience in the successful delivery of documentation associated with capability delivery to complex customers.
Demonstrated expertise in requirements management, design traceability and configuration management activities.
It will be led by Austal, and will require the engagement of local industry, supply chain and workforce to be successful.
Working within the SSA will provide career development opportunities whilst working alongside experienced, dedicated, and passionate industry professionals, in a collaborative, dynamic and outcome focused environment.
Defence Industry attracts talent with research, manufacturing and technology skills which means our people come from many backgrounds, bringing a rich and diverse culture.",3
ICT Test Engineer (L1),"About Us Digital Armour is a North Sydney-based Managed Services Provider with over 20 years of experience delivering IT infrastructure, cybersecurity, Microsoft Business Applications (including CRM and ERP), and compliance solutions to mid-market clients across Australia.
What You’ll Do Develop and run structured test cases across infrastructure and software solutions Identify, log, and track defects through resolution Support root cause analysis and contribute to process improvements Prepare and maintain test environments Work closely with engineers and stakeholders to verify functionality and performance Provide reporting on test coverage, progress, and risk What You’ll Bring 1–2 years of experience in a systems, software, or infrastructure testing role Strong attention to detail and problem-solving skills A structured and analytical approach to testing A collaborative mindset and ability to work across technical teams Passion for learning and improving processes Exposure to Agile or DevOps environments is an advantage Why Join Us Supportive team culture that values ownership, growth, and straight talk Real career progression opportunities—our people are our future Hybrid work options available Work with modern tools and methodologies in a fast-paced MSP environment How to Apply Send your CV and a brief cover letter to hr@digitalarmour.com.au We encourage applicants who thrive in structured yet dynamic environments and want to build their careers in IT service delivery.",3
Senior Network Security Engineer,"Responsibilities: Leading initiatives across Network Security Operations Managing level 3 escalations Assist with scripting database queries Contribute to project scopes around Firewalls and IPS/IDS Key Skills: Deep experience in Network Security across Multi-vendor Firewall experience including Cisco, Juniper, Fortinet, Palo Alto Hands on experience with IDS/IPS Moderate automation skills would be a benefit Knowledge of F5 load balancers Show more Show less Seniority level Mid-Senior level Employment type Contract Job function Information Technology Industries Technology, Information and Internet",3
Information Security Analyst,"Whether your background is in IT, compliance, data, audit or governance, your skills may be more transferable than you think.
What you’ll get to do Work cross-functionally to build and maintain accurate, and business owned information asset register Create and deliver cyber security awareness programs and resources Provide information security advice that empowers—not overwhelms—our people Generate meaningful reports, providing clear insights and recommendations Support initiatives to uplift our security practices and regulatory compliance Stay on top of evolving threats and help shape our organisation’s response Act as a trusted facilitator—guiding the business through the practical realities of security and governance What we are looking for You’re naturally curious, thriving on untangling issues and finding better ways to do things.
We’re especially keen to hear from people with: Experience in cyber, IT, compliance, data, audit, or governance Confidence engaging with stakeholder, both verbal and written —because security needs storytelling too An interest in facilitating education, not just enforcement A collaborative approach that values partnership over policing An interest in risk, privacy, or operational resilience Why join us?
With over 200 years of combined experience, we’ve helped hundreds of thousands of Australians achieve home ownership and providing a genuine alternative to the big banks—all while strengthening the communities we serve.
All applicants are therefore required to undergo a skills assessment , comprehensive background check , Bankruptcy Check and a National Police Check .
If you require adjustments to be made during the recruitment process or would like to discuss any accessibility requirements, your Talent Acquisition Partner will be happy to engage in a confidential discussion and assist.",1
Senior Cyber Security Specialist,"We are looking for a Senior Cyber Security Specialist to support and enhance our information / cyber security management framework through the implementation of new initiatives and technologies, as well as the operation of existing security controls and processes.
Responsibilities Operating, managing and maintaining security tools and technologies such as firewalls, EDR/XDR systems, antivirus software, DLP software, reverse proxies, network/application scanners, identity and authorization management platforms and SIEM to ensure effective security operations.
Working closely with Product and Application Owners, champion cyber security requirements and architecture standards across enterprise initiatives.
Additional Responsibilities Collaborating with cross-functional teams, such as Infrastructure, legal, compliance, and risk management to ensure a comprehensive approach to cybersecurity, and effectively communicating security-related issues, findings, and recommendations to stakeholders at all levels of the organization.
Qualifications At least 5 years in a cyber security role.
Strong hands-on experience in an operational context.
Strong analytical, conceptual and problem-solving skills.
Ideally someone with prior experience securing systems in regulated industries, such as Finance, Infrastructure or Health services.
This is a fantastic opportunity to bring your experience working as a Senior Cyber Security Specialist to a busy team.
We ensure our people always feel supported and we do this by our openness to flexible work options and our commitment to inclusion, regardless of career level, life-stage, or experience.",0
Senior Business Development Manager - Northern Region,"Triskele Labs is expanding, and we are looking for an experienced and independent Business Development Manager to spearhead growth across New South Wales and Queensland.
Every service line is supported by real-world intelligence from our global Digital Forensics and Incident Response team, and everything we offer is shaped by the hands-on experience of practitioners who know what works.
About The Role You will be the first dedicated BDM for NSW and QLD, reporting directly to the Sales Director.
You will be responsible for finding, engaging, and closing new opportunities, building your pipeline from scratch, and representing Triskele Labs across the region.
Your focus will include: Identifying and winning new business across NSW and QLD, with an initial focus on our core market and expanding into enterprise Developing, running and hosting events across both states including industry breakfasts, round tables, and social engagements Owning the full sales cycle from outreach through to signed contract Travelling regularly within NSW and QLD to meet with prospects and attend events Representing Triskele Labs with confidence and clarity to CISOs, CIOs, and IT leadership Feeding back insight to influence our go-to-market strategy in both regions You will be expected to drive all your own prospecting and outreach.
An SDR will be added to the team, which we are currently recruiting for, but with all roles, we are looking for the right person so this could take time.
In the meantime, you will be fully supported by our Sales Director, pre-sales team, marketing, and technical subject matter experts.
What You'll Bring 5 to 10 years' experience in B2B business development, ideally in cybersecurity, IT services, or a technology-related sector Proven success in sourcing and closing new business without reliance on inbound leads A self-starter mindset and the confidence to run your own show Excellent communication and presentation skills Strong commercial awareness and a feel for how to structure and close deals Comfort operating independently in the field, including organising and leading events Why Triskele Labs This is your chance to get in early and grow a region with autonomy.
You will have the chance to: Represent a company that is recognised for quality, not noise Build a region that is ready to scale and already has clients Be part of a culture that values getting things done, caring about clients, and loving what you do Enjoy flexibility, independence, and a lack of red tape Application Process This is a senior hire and we are investing in the right person.
As part of the process, you will be asked to present a three-page sales plan outlining your approach to NSW and QLD growth, including your strategies for outreach, verticals to target, and how you will build a pipeline from the ground up.
If you're an experienced hunter who wants to represent a cybersecurity business that's growing fast but doing it the right way, we'd love to hear from you.",4
Information Management & Protection Specialist,"In this role you will be responsible for developing governance processes, automating access reviews, and supporting the administration of our controlled document management system.
Additionally, you will collaborate with teams across the business to help them understand and take ownership of information security practices.
Reporting to the Lead Information Management & Privacy, the Information Management & Protection Specialist's key accountabilities include, but aren’t limited to: Assess privacy and data security risks, implement protection controls, and guide teams on their responsibilities while recommending innovative solutions to keep information secure and ensure compliance with internal and external requirements.
Stay current with privacy and information management trends, legislation, and regulatory requirements, while helping information owners understand their role in protecting organisational information assets and adapting to changing compliance landscapes.
ABOUT YOU You will have experience and demonstrate capability in the following: Working knowledge of enterprise data protection, security policy development, scripting, or system administration is highly valued.
Experience with, or a willingness to learn, Information Management and Privacy best practices for large, global organisations.
Qualifications for this position are: Tertiary qualified in Business, Information Management, Information Technology or related discipline (desirable) South32 is committed to building and maintaining an inclusive and diverse workforce that reflects the communities in which we operate.",0
Cyber Security Analyst,"In this role, you will provide critical expertise and analysis to support proactive uplift of NSW Government's cyber posture, vulnerability impacts and Essential Eight controls to help mitigate risk and ensure robust protections are in place for Whole of NSW Government.
Participate in projects across the broader team as required.
Furthermore, the exciting digital transformation being undertaken across NSW Government requires similarly enhanced cyber security capabilities.
At the centre of this exciting and growing cyber capability, Cyber Security NSW is working across NSW Government to: Create a whole-of-government integrated approach to managing cyber risk and responding to cyber security threats Increase cyber skills and awareness Understand the risks from cyber threats to our digital information and systems Set cyber security standards Ensure we are prepared if a damaging cyber incident occurs About You (Essential Requirements of the Role): To be successful in the role you will: Have demonstrated experience (minimum 2 years) and knowledge of Information Technology, Information Security and/or Cyber Security, including the principles, concepts and current trends Have a technical background administering networks, servers and desktops (desirable, but not essential) Understanding or management experience with vulnerability assessments and or penetration testing (desirable, but not essential) Be able to adapt quickly, continually working to keep your knowledge and skills up to date Have well-developed verbal and written communication skills including stakeholder engagement and professional correspondence Have good analytical and investigative skills Be able to proactively manage your own workload and tasks Have relevant qualifications (undergraduate degree and or industry certifications) in IT and or cyber security related discipline and working knowledge of cyber security (highly desirable) Ensuring work is completed to agreed timeframes while managing competing priorities and outputs An Australian Citizen including the ability to obtain and maintain a Baseline or higher National Security Clearance and undergo a police check Applying for the role: Please click on the link to apply and attach your resume (maximum 4 pages) and cover letter (maximum 2 pages) which should outline your experience against the key accountabilities and address the about you section.",1
Senior Security Engineer,"Profile 7+ years of experience in cybersecurity or IT infrastructure.
5+ years of hands-on experience with CyberArk PAM solutions.
Experience with scripting languages (PowerShell, Python) and RESTful APIs.
Excellent problem-solving skills and attention to detail.",3
Cyber Security & Privacy Consultant,"You will provide expertise across several of the following domains: Security Strategy Security Program Data Protection Data Privacy Digital Identity Cloud Security REQUIRED BACKGROUND / EXPEREINCE / PERSONAL QUALITIES Suitable for a motivated and driven Cyber Security Consultant who is keen to grow their technology consulting career in a supportive and non-political environment with merit-based promotions.
The following knowledge / skills / experience is required: Proven consulting experience across Cyber Security Strategy, Privacy, and/or Data Protection Background in security policy development, information security analysis risk assessment, and security solution implementation).
Experience assessing and implementing security & risk frameworks (e.g.
Bachelor Degree, CISA, CISSP, CISM, Prince 2, Agile etc) Soft skills are key: Professional with clear communication skills.
Good problem-solving skills and the ability to think outside the box.",0
Security Engineer,"Experience with Rapid7 will be highly regarded and considered a strong asset.
Your role will include Monitor and investigate security alerts using Microsoft Sentinel, Defender, and CrowdStrike.
Experience working with Microsoft Defender for Endpoint and Microsoft Sentinel Hands-on experience with CrowdStrike for threat detection and response Knowledge of vulnerability management practices and tools (e.g., vulnerability scanning, risk assessment) Familiarity with incident triage and response processes Ability to interpret security logs and alerts from various sources (EDR, SIEM, firewalls, etc.) Strong understanding of cybersecurity fundamentals (threat vectors, MITRE ATT&CK, common vulnerabilities, etc.) Solid documentation and reporting skills using Microsoft Office Suite (especially Excel and Word) Ability to work both independently and as part of a collaborative team Don’t meet every requirement?
In selecting the right person for this role, we will consider your skills and experience as well as your personal qualities, attitude and potential for development.",3
Digital Solution Area Specialists - Security,"As a Digital Security Specialist, you will build secure digital transformation strategies with customers, collaborating with different groups inside the Customer environment to successfully enable them to be more secure.
You will lead consultative customer conversations and collaborate on the planning, orchestration, and execution of end-to-end Security opportunities with internal stakeholders and partners to cross-sell and up-sell.
This opportunity will allow you to learn and accelerate your career growth, hone your solution sales and collaboration skills, and deepen your end-to-end security expertise.
We are looking for a passionate Security Specialist with a drive for developing and winning sales opportunities that delivers significant customer value and accelerates their digital transformation journey.
Responsibilities Be the security expert for your assigned territory.
Understand customer cloud and security initiatives, compete landscape as well as gaps between current and desired security posture.
Qualifications Required Qualifications (RQs) 2+ years technology-related sales or account management experience OR Bachelor's Degree in Computer Science, Information Technology, Business Administration, or related field AND 3+ years technology-related sales or account management experience OR equivalent experience Preferred Qualifications (PQs) 4+ years technology-related sales or account management experience OR Bachelor's Degree in Information Technology, or related field AND 2+ years technology-related sales or account management experience OR Master's Degree in Business Administration (i.e., MBA), Information Technology, or related field AND 2+ years technology-related sales or account management experience 2+ years solution or services sales experience Certifications: One or more of the following certifications is a plus: CISSP, CCSP, SC-500, AZ-900 Technical passion with good understanding of cloud security - Threat protection (Endpoint security, E-mail security, Incident Response, etc.), Kill Chain, CNAPP, SIEM, Multi-Cloud Security, Identity and Access management Experience with competitive Security solutions (e.g.",0
